Population et migration,,,,,,,
Espérance de vie à la naissance (e0),,,,,,,
2000-2009,,,,,,,
Définition,"Nombre moyen d'années qu'un groupe d'individus pourrait s'attendre à vivre à un âge donné s'il encourt les risques de mourir observés à chaque âge au cours de l'année (ou des années) de référence (l'Espérance de vie par sexe à la naissance et à 60 ans se trouvent dans le fichier de données). Le calcul se fait sur plusieurs années afin d'avoir une estimation plus stable. Note: Les espérances de vie de l'entité peuvent être influencées par la présence ou l'absence de maison de repos sur le territoire de l'entité. Bien que le calcul intègre l'ensemble des décès observés sur la période retenue, l'impact de quelques décès sur l'espérance de vie reste plus important dans une entité peu peuplée. Il convient donc d'interpréter avec prudence le classement des entités selon leurs espérances de vie.",,,,,,
Mise à jour,21/05/2015,Calculs DEMO-UCL,,,,,
,,,,,,,
Sources,Cytise (DEMO-UCL),,,,,,
,Registre national,,,,,,
,SPF économie - DG Statistique/Statistics Belgium,,,,,,
,,,,,,,
Code INS,Entités administratives,e0 (ans),e60 (ans),e0 hommes (ans),e60 hommes (ans),e0 femmes (ans),e60 femmes (ans)
1000,Belgique,"81,2","24,4","78,2","22,1","84,1","26,5"
2000,Flandre,"81,1","24,4","78,0","21,8","83,8","26,4"
3000,Wallonie,"79,8","23,6","76,4","21,1","83,1","25,8"
4000,Bruxelles capitale,"82,0","24,9","79,2","22,6","84,6","26,9"
20002,Province du Brabant Wallon,"81,8","24,7","78,8","22,4","84,6","26,7"
25000,Arrondissement de Nivelles,"81,8","24,7","78,8","22,4","84,6","26,7"
25005,Beauvechain,"81,8","24,7","78,8","22,7","85,0","26,6"
25014,Braine-l'Alleud,"81,9","24,5","78,8","22,1","84,6","26,6"
25015,Braine-le-Château,"80,8","23,9","78,2","21,8","83,2","25,8"
25018,Chaumont-Gistoux,"82,2","24,9","79,6","23,0","84,8","26,8"
25023,Court-Saint-Etienne,"81,2","24,2","78,7","22,3","83,7","25,9"
25031,Genappe,"80,8","24,1","77,9","21,8","83,8","26,3"
25037,Grez-Doiceau,"82,1","24,9","79,1","22,4","85,0","27,2"
25043,Incourt,"82,9","24,9","79,5","22,2","86,6","27,7"
25044,Ittre,"80,6","23,3","78,8","21,5","82,2","24,7"
25048,Jodoigne,"81,6","24,8","78,1","22,5","85,0","26,8"
25050,La Hulpe,"82,3","25,0","80,2","23,4","84,1","26,3"
25068,Mont-Saint-Guibert,"80,5","23,7","77,1","21,5","83,9","25,6"
25072,Nivelles,"80,9","24,4","77,3","21,5","84,4","26,8"
25084,Perwez,"79,7","23,4","76,4","21,1","83,0","25,4"
25091,Rixensart,"82,7","25,2","79,7","22,9","85,5","27,2"
25105,Tubize,"80,4","23,5","77,0","20,9","83,9","26,0"
25107,Villers-la-Ville,"81,0","24,1","78,5","22,5","83,3","25,4"
25110,Waterloo,"83,8","25,9","80,9","23,7","86,3","27,9"
25112,Wavre,"82,2","25,2","79,3","23,0","84,8","27,0"
25117,Chastre,"81,1","23,8","78,7","21,7","83,1","25,6"
25118,Hélécine,"80,5","24,4","77,0","21,4","84,1","27,5"
25119,Lasne,"83,4","25,5","80,8","23,7","86,0","27,4"
25120,Orp-Jauche,"81,8","24,8","78,6","22,1","84,9","27,1"
